datetime,date,hour,load_kW,pv_kW,demand_kWh,supply_kWh,monthnew,yearnew,net_kWh,status,,
2022-01-01  01:00,2022-01-01,1,3.29,0.01,5.87,0,1,2022,-5.87,D,,
2022-01-01  02:00,2022-01-01,2,7.09,0.01,5.95,0,1,2022,-5.95,D,,
2022-01-01  03:00,2022-01-01,3,3.14,0.01,5.69,0,1,2022,-5.69,D,,
2022-01-01  04:00,2022-01-01,4,6.97,0.01,6.05,0,1,2022,-6.05,D,,
2022-01-01  05:00,2022-01-01,5,3.92,0.01,5.64,0,1,2022,-5.64,D,,
2022-01-01  06:00,2022-01-01,6,7.37,0.01,5.47,0,1,2022,-5.47,D,,
2022-01-01  07:00,2022-01-01,7,9.21,0.12,4.66,0,1,2022,-4.66,D,,
2022-01-01  08:00,2022-01-01,8,5.67,4.5,2.72,0.13,1,2022,-2.59,D,,
2022-01-01  09:00,2022-01-01,9,17.84,12.09,0.26,3.01,1,2022,2.75,S,,
2022-01-01  10:00,2022-01-01,10,28.99,17.41,0,9.71,1,2022,9.71,S,,
2022-01-01  11:00,2022-01-01,11,32.47,20.43,0,13.11,1,2022,13.11,S,,
2022-01-01  12:00,2022-01-01,12,37.32,21.36,0,14.64,1,2022,14.64,S,,
2022-01-01  13:00,2022-01-01,13,32.76,21,0,14.17,1,2022,14.17,S,,
2022-01-01  14:00,2022-01-01,14,29.32,18.36,0.03,12.73,1,2022,12.7,S,,
2022-01-01  15:00,2022-01-01,15,23.34,14.38,0.01,9.97,1,2022,9.96,S,,
2022-01-01  16:00,2022-01-01,16,10.63,8.06,0.02,4.82,1,2022,4.8,S,,
2022-01-01  17:00,2022-01-01,17,9.11,1.12,2.31,0.57,1,2022,-1.74,D,,
2022-01-01  18:00,2022-01-01,18,0,-0.14,5.56,0,1,2022,-5.56,D,,
2022-01-01  19:00,2022-01-01,19,4.02,0.01,7.15,0,1,2022,-7.15,D,,
2022-01-01  20:00,2022-01-01,20,7.08,0.01,6.73,0,1,2022,-6.73,D,,
2022-01-01  21:00,2022-01-01,21,3.74,0.01,6.39,0,1,2022,-6.39,D,,
2022-01-01  22:00,2022-01-01,22,3.56,0.01,6.63,0,1,2022,-6.63,D,,
2022-01-01  23:00,2022-01-01,23,5.99,0.01,6.21,0,1,2022,-6.21,D,,
2022-01-02  01:00,2022-01-02,1,3.55,0.01,5.88,0,1,2022,-5.88,D,,
2022-01-02  02:00,2022-01-02,2,4.96,0.01,5.89,0,1,2022,-5.89,D,,
2022-01-02  03:00,2022-01-02,3,3.36,0.01,5.73,0,1,2022,-5.73,D,,
2022-01-02  04:00,2022-01-02,4,9.19,0.01,5.62,0,1,2022,-5.62,D,,
2022-01-02  05:00,2022-01-02,5,6.02,0.01,5.58,0,1,2022,-5.58,D,,
2022-01-02  06:00,2022-01-02,6,5.85,0.01,5.34,0,1,2022,-5.34,D,,
2022-01-02  07:00,2022-01-02,7,6.55,0.13,4.41,0,1,2022,-4.41,D,,
2022-01-02  08:00,2022-01-02,8,7.27,4.58,2.71,0.18,1,2022,-2.53,D,,
2022-01-02  09:00,2022-01-02,9,17.75,10.41,0.11,2.74,1,2022,2.63,S,,
2022-01-02  10:00,2022-01-02,10,29.84,17.38,0,9.55,1,2022,9.55,S,,
2022-01-02  11:00,2022-01-02,11,32.38,20.46,0,13.39,1,2022,13.39,S,,
2022-01-02  12:00,2022-01-02,12,33.49,21,0,15.06,1,2022,15.06,S,,
2022-01-02  13:00,2022-01-02,13,35.67,20.66,0,14.35,1,2022,14.35,S,,
2022-01-02  14:00,2022-01-02,14,28.65,18.83,0.04,13.46,1,2022,13.42,S,,
2022-01-02  15:00,2022-01-02,15,19.75,12.43,0.73,6.9,1,2022,6.17,S,,
2022-01-02  16:00,2022-01-02,16,8.52,8.27,0.06,4.7,1,2022,4.64,S,,
2022-01-02  17:00,2022-01-02,17,5.99,2.15,1.47,0.6,1,2022,-0.87,D,,
2022-01-02  18:00,2022-01-02,18,0,-0.05,5.13,0,1,2022,-5.13,D,,
2022-01-02  19:00,2022-01-02,19,4.68,0.01,6.32,0,1,2022,-6.32,D,,
2022-01-02  20:00,2022-01-02,20,6.77,0.01,6.48,0,1,2022,-6.48,D,,
2022-01-02  21:00,2022-01-02,21,6.41,0.01,6.09,0,1,2022,-6.09,D,,
2022-01-02  22:00,2022-01-02,22,7.33,0.01,6.32,0,1,2022,-6.32,D,,
2022-01-02  23:00,2022-01-02,23,6.97,0.01,6.27,0,1,2022,-6.27,D,,
2022-01-03  01:00,2022-01-03,1,6.65,0.01,6.04,0,1,2022,-6.04,D,,
2022-01-03  02:00,2022-01-03,2,5.2,0.01,5.97,0,1,2022,-5.97,D,,
2022-01-03  03:00,2022-01-03,3,3.89,0.01,5.76,0,1,2022,-5.76,D,,
